County,Incidence
6000,176.8
6001,218
6003,
6005,
6007,284.9
6009,
6011,
6013,232.1
6015,
6017,176.3
6019,153
6021,
6023,383.6
6025,120.5
6027,
6029,200.6
6031,176.2
6033,220
6035,
6037,175.5
6039,195.4
6041,87.1
6043,
6045,184
6047,363.2
6049,
6051,
6053,162.7
6055,135.5
6057,
6059,125.9
6061,109.3
6063,
6065,138.9
6067,229.5
6069,
6071,154.1
6073,129.5
6075,227.6
6077,214.8
6079,131.6
6081,67.5
6083,152.7
6085,117.3
6087,89.3
6089,150.9
6091,
6093,
6095,232.3
6097,122.1
6099,281.3
6101,131.2
6103,
6105,
6107,128.1
6109,
6111,141.3
6113,108
6115,135.9
