County,Incidence
6000,167.3
6001,204
6003,
6005,
6007,200.2
6009,
6011,
6013,205.5
6015,
6017,113.5
6019,146.2
6021,
6023,442.8
6025,123.2
6027,
6029,176.9
6031,155.5
6033,275.2
6035,
6037,165.8
6039,317.5
6041,114.7
6043,
6045,
6047,300.4
6049,
6051,
6053,126.6
6055,101.8
6057,
6059,123.1
6061,150.8
6063,561
6065,147.2
6067,214.6
6069,
6071,140.7
6073,109.4
6075,199.1
6077,225.9
6079,89.7
6081,89.6
6083,138.2
6085,121.5
6087,61.2
6089,193.4
6091,
6093,
6095,226.9
6097,158.5
6099,236.8
6101,175.1
6103,
6105,
6107,160.9
6109,
6111,98.8
6113,137.1
6115,186.1
