County,Incidence
6000,171.1
6001,228.3
6003,
6005,
6007,192.3
6009,
6011,
6013,223.8
6015,
6017,98.5
6019,138
6021,
6023,347.2
6025,116.2
6027,
6029,205.8
6031,155.3
6033,333.3
6035,
6037,161.7
6039,165.1
6041,126.2
6043,
6045,
6047,396.1
6049,
6051,
6053,148.5
6055,116.1
6057,302.7
6059,119.2
6061,102
6063,
6065,132.3
6067,210.2
6069,
6071,174.5
6073,124.3
6075,200.4
6077,218.1
6079,79.8
6081,89.2
6083,135.6
6085,107.9
6087,122
6089,222.9
6091,
6093,
6095,205.7
6097,135.9
6099,310.3
6101,135.5
6103,
6105,
6107,193.2
6109,
6111,126.9
6113,103.7
6115,143.7
